Número de threads,Tempo,Resultado
1,5.420365,1
2,3.556760,1
3,2.253357,1
4,1.662814,1
5,1.301730,1
6,1.109749,1
8,1.150213,1
10,1.073448,1
12,0.961082,1
15,0.991350,1
16,0.981258,1
20,0.969313,1
24,0.975139,1
25,0.983461,1
30,0.992054,1
