Número de threads,Tempo,Resultado
1,20.459282,7
2,10.169549,7
3,6.988003,7
4,5.361536,7
5,4.429922,7
6,4.099463,7
8,4.134023,7
10,3.822573,7
12,3.512854,7
15,3.610539,7
16,3.617255,7
20,3.527510,7
24,3.515077,7
25,3.436675,7
30,3.463801,7
